"date","precipitation","count"
2014-10-13,0,409
2014-10-14,0.11,491
2014-10-15,0.45,313
2014-10-16,0,395
2014-10-17,0.14,294
2014-10-18,0.31,399
2014-10-19,0,666
2014-10-20,0.44,389
2014-10-21,0.1,357
2014-10-22,1.43,141
2014-10-23,0.35,338
2014-10-24,0.13,430
2014-10-25,0.37,216
2014-10-26,0.05,252
2014-10-27,0.01,367
2014-10-28,0.34,235
2014-10-29,0.04,440
2014-10-30,0.67,227
2014-10-31,0.77,226
2014-11-01,0,438
2014-11-02,0.11,331
2014-11-03,0.24,237
2014-11-04,0.05,385
2014-11-05,0.27,296
2014-11-06,0.22,256
2014-11-07,0,345
2014-11-08,0,529
2014-11-09,0.29,237
2014-11-10,0,392
2014-11-11,0,270
2014-11-12,0,296
2014-11-13,0,318
2014-11-14,0,267
2014-11-15,0,245
2014-11-16,0,189
2014-11-17,0,279
2014-11-18,0,293
2014-11-19,0,341
2014-11-20,0.11,234
2014-11-21,0.67,159
2014-11-22,0.03,240
2014-11-23,0.42,207
2014-11-24,0.01,217
2014-11-25,0.33,174
2014-11-26,0.01,290
2014-11-27,0.04,122
2014-11-28,1.39,62
2014-11-29,0.06,63
2014-11-30,0,111
2014-12-01,0,205
2014-12-02,0,221
2014-12-03,0,252
2014-12-04,0.05,227
2014-12-05,0.09,209
2014-12-06,0.25,149
2014-12-07,0,174
2014-12-08,0.45,205
2014-12-09,0.42,236
2014-12-10,0.5,171
2014-12-11,0.33,185
2014-12-12,0,249
2014-12-13,0.01,208
2014-12-14,0,184
2014-12-15,0,238
2014-12-16,0,246
2014-12-17,0.16,191
2014-12-18,0.6,165
2014-12-19,0.13,300
2014-12-20,0.6,78
2014-12-21,0,141
2014-12-22,0,259
2014-12-23,0.61,127
2014-12-24,0.12,129
2014-12-25,0,149
2014-12-26,0,195
2014-12-27,0.12,119
2014-12-28,0.06,133
2014-12-29,0,176
2014-12-30,0,174
2014-12-31,0,136
2015-01-01,0,164
2015-01-02,0.03,136
2015-01-03,0,151
2015-01-04,0.22,51
2015-01-05,0.07,180
2015-01-06,0.01,287
2015-01-07,0,315
2015-01-08,0,333
2015-01-09,0.01,298
2015-01-10,0.18,133
2015-01-11,0.06,101
2015-01-12,0,281
2015-01-13,0,296
2015-01-14,0,280
2015-01-15,0.43,206
2015-01-16,0,309
2015-01-17,0.76,131
2015-01-18,0.23,88
2015-01-19,0.03,273
"100",2015-01-20,0,320
"101",2015-01-21,0,300
"102",2015-01-22,0.03,276
"103",2015-01-23,0.08,214
"104",2015-01-24,0.02,230
"105",2015-01-25,0.01,262
"106",2015-01-26,0,317
"107",2015-01-27,0.02,249
"108",2015-01-28,0,336
"109",2015-01-29,0,320
"110",2015-01-30,0,307
"111",2015-01-31,0,224
"112",2015-02-01,0.04,126
"113",2015-02-02,0.3,182
"114",2015-02-03,0.03,242
"115",2015-02-04,0.3,212
"116",2015-02-05,0.87,172
"117",2015-02-06,0.75,186
"118",2015-02-07,0.82,122
"119",2015-02-08,0.15,179
"120",2015-02-09,0.15,252
"121",2015-02-10,0.02,287
"122",2015-02-11,0,306
"123",2015-02-12,0.02,325
"124",2015-02-13,0,384
"125",2015-02-14,0.05,387
"126",2015-02-15,0,321
"127",2015-02-16,0,249
"128",2015-02-17,0,340
"129",2015-02-18,0,306
"130",2015-02-19,0.03,244
"131",2015-02-20,0.02,260
"132",2015-02-21,0,381
"133",2015-02-22,0,248
"134",2015-02-23,0,273
"135",2015-02-24,0,280
"136",2015-02-25,0.07,206
"137",2015-02-26,0.22,277
"138",2015-02-27,0.73,218
"139",2015-02-28,0,365
"140",2015-03-01,0,246
"141",2015-03-02,0,282
"142",2015-03-03,0,296
"143",2015-03-04,0,327
"144",2015-03-05,0,282
"145",2015-03-06,0,351
"146",2015-03-07,0,462
"147",2015-03-08,0,417
"148",2015-03-09,0,319
"149",2015-03-10,0,374
"150",2015-03-11,0.09,310
"151",2015-03-12,0,416
"152",2015-03-13,0.04,364
"153",2015-03-14,0.54,246
"154",2015-03-15,2.2,34
"155",2015-03-16,0,304
"156",2015-03-17,0.03,319
"157",2015-03-18,0,359
"158",2015-03-19,0.01,371
"159",2015-03-20,0.12,302
"160",2015-03-21,0.13,314
"161",2015-03-22,0.07,187
"162",2015-03-23,0.2,239
"163",2015-03-24,0.27,361
"164",2015-03-25,0.15,274
"165",2015-03-26,0,533
"166",2015-03-27,0.01,434
"167",2015-03-28,0,306
"168",2015-03-29,0,263
"169",2015-03-30,0.02,406
"170",2015-03-31,0.31,282
"171",2015-04-01,0.05,375
"172",2015-04-02,0,365
"173",2015-04-03,0.05,320
"174",2015-04-04,0,416
"175",2015-04-05,0,304
"176",2015-04-06,0,349
"177",2015-04-07,0.01,400
"178",2015-04-08,0,419
"179",2015-04-09,0,456
"180",2015-04-10,0.52,391
"181",2015-04-11,0.02,196
"182",2015-04-12,0,255
"183",2015-04-13,0.46,221
"184",2015-04-14,0.05,321
"185",2015-04-15,0,357
"186",2015-04-16,0,468
"187",2015-04-17,0,624
"188",2015-04-18,0,746
"189",2015-04-19,0,754
"190",2015-04-20,0,941
"191",2015-04-21,0.16,583
"192",2015-04-22,0,522
"193",2015-04-23,0.1,320
"194",2015-04-24,0.15,386
"195",2015-04-25,0.01,455
"196",2015-04-26,0,344
"197",2015-04-27,0,518
"198",2015-04-28,0.11,317
"199",2015-04-29,0.01,339
"200",2015-04-30,0,436
"201",2015-05-01,0,450
"202",2015-05-02,0,548
"203",2015-05-03,0,472
"204",2015-05-04,0,401
"205",2015-05-05,0.18,306
"206",2015-05-06,0,408
"207",2015-05-07,0,556
"208",2015-05-08,0,650
"209",2015-05-09,0,793
"210",2015-05-10,0,440
"211",2015-05-11,0,445
"212",2015-05-12,0.11,418
"213",2015-05-13,0.14,318
"214",2015-05-14,0,483
"215",2015-05-15,0.01,548
"216",2015-05-16,0,406
"217",2015-05-17,0,437
"218",2015-05-18,0,534
"219",2015-05-19,0,509
"220",2015-05-20,0,516
"221",2015-05-21,0,587
"222",2015-05-22,0,458
"223",2015-05-23,0,537
"224",2015-05-24,0,455
"225",2015-05-25,0,408
"226",2015-05-26,0,463
"227",2015-05-27,0,618
"228",2015-05-28,0,636
"229",2015-05-29,0,625
"230",2015-05-30,0,585
"231",2015-05-31,0,538
"232",2015-06-01,0.09,323
"233",2015-06-02,0,460
"234",2015-06-03,0,460
"235",2015-06-04,0,564
"236",2015-06-05,0,599
"237",2015-06-06,0,518
"238",2015-06-07,0,474
"239",2015-06-08,0,567
"240",2015-06-09,0,564
"241",2015-06-10,0,521
"242",2015-06-11,0,611
"243",2015-06-12,0,559
"244",2015-06-13,0,716
"245",2015-06-14,0,507
"246",2015-06-15,0,606
"247",2015-06-16,0,596
"248",2015-06-17,0,562
"249",2015-06-18,0,605
"250",2015-06-19,0.07,501
"251",2015-06-20,0,556
"252",2015-06-21,0,434
"253",2015-06-22,0,535
"254",2015-06-23,0,514
"255",2015-06-24,0,568
"256",2015-06-25,0,569
"257",2015-06-26,0,561
"258",2015-06-27,0,458
"259",2015-06-28,0,404
"260",2015-06-29,0.01,539
"261",2015-06-30,0,548
"262",2015-07-01,0,531
"263",2015-07-02,0,606
"264",2015-07-03,0,630
"265",2015-07-04,0,759
"266",2015-07-05,0,545
"267",2015-07-06,0,646
"268",2015-07-07,0,581
"269",2015-07-08,0,651
"270",2015-07-09,0,660
"271",2015-07-10,0,648
"272",2015-07-11,0,524
"273",2015-07-12,0,550
"274",2015-07-13,0,681
"275",2015-07-14,0,642
"276",2015-07-15,0,663
"277",2015-07-16,0,667
"278",2015-07-17,0,700
"279",2015-07-18,0,686
"280",2015-07-19,0,550
"281",2015-07-20,0,500
"282",2015-07-21,0.13,547
"283",2015-07-22,0,648
"284",2015-07-23,0,641
"285",2015-07-24,0.01,515
"286",2015-07-25,0.02,563
"287",2015-07-26,0.1,363
"288",2015-07-27,0.01,611
"289",2015-07-28,0,672
"290",2015-07-29,0,656
"291",2015-07-30,0,597
"292",2015-07-31,0,575
"293",2015-08-01,0,674
"294",2015-08-02,0,495
"295",2015-08-03,0,636
"296",2015-08-04,0,613
"297",2015-08-05,0,621
"298",2015-08-06,0,635
"299",2015-08-07,0,640
"300",2015-08-08,0,566
"301",2015-08-09,0,600
"302",2015-08-10,0,588
"303",2015-08-11,0,597
"304",2015-08-12,0.04,604
"305",2015-08-13,0,632
"306",2015-08-14,0.57,347
"307",2015-08-15,0,550
"308",2015-08-16,0,557
"309",2015-08-17,0,580
"310",2015-08-18,0,598
"311",2015-08-19,0,638
"312",2015-08-20,0,515
"313",2015-08-21,0,619
"314",2015-08-22,0,509
"315",2015-08-23,0,430
"316",2015-08-24,0,629
"317",2015-08-25,0,518
"318",2015-08-26,0,560
"319",2015-08-27,0,583
"320",2015-08-28,0.01,496
"321",2015-08-29,0.18,274
"322",2015-08-30,0.24,330
"323",2015-08-31,0.06,412
"324",2015-09-01,0.17,318
"325",2015-09-02,0.02,447
"326",2015-09-03,0,513
"327",2015-09-04,0,439
"328",2015-09-05,0.06,302
"329",2015-09-06,0.19,344
"330",2015-09-07,0,458
"331",2015-09-08,0,409
"332",2015-09-09,0,575
"333",2015-09-10,0.01,527
"334",2015-09-11,0,634
"335",2015-09-12,0,514
"336",2015-09-13,0.03,261
"337",2015-09-14,0,421
"338",2015-09-15,0,436
"339",2015-09-16,0.04,476
"340",2015-09-17,0.58,311
"341",2015-09-18,0.01,494
"342",2015-09-19,0,384
"343",2015-09-20,0.09,316
"344",2015-09-21,0,401
"345",2015-09-22,0,463
"346",2015-09-23,0,470
"347",2015-09-24,0,547
"348",2015-09-25,0.03,385
"349",2015-09-26,0,488
"350",2015-09-27,0,319
"351",2015-09-28,0,504
"352",2015-09-29,0,533
"353",2015-09-30,0,445
"354",2015-10-01,0.01,449
"355",2015-10-02,0,434
"356",2015-10-03,0,372
"357",2015-10-04,0,462
"358",2015-10-05,0,489
"359",2015-10-06,0.01,397
"360",2015-10-07,0.38,253
"361",2015-10-08,0,431
"362",2015-10-09,0.01,370
"363",2015-10-10,0.77,127
"364",2015-10-11,0,319
"365",2015-10-12,0.34,393
